0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
0.0,1.0,0.0,79.0,93919.27,133.05,31.0,14.0,351.0,0.0,8.0,4771.0,1990.0,6.0,25.0
1.0,0.0,0.0,79.0,101520.32,32354.51,12.0,18.0,623.0,0.0,26.0,4053.0,1990.0,9.0,10.0
0.0,1.0,0.0,79.0,31154.41,6183.41,8.0,7.0,539.0,0.0,249.0,3134.0,2016.0,8.0,8.0
0.0,1.0,0.0,28.0,64393.91,6183.41,17.0,20.0,501.0,0.0,133.0,7524.0,2013.0,5.0,20.0
1.0,0.0,0.0,79.0,91397.39,4.5,19.0,10.0,17.0,0.0,43.0,8688.0,2009.0,1.0,20.0
0.0,1.0,0.0,79.0,78334.59,6183.41,11.0,12.0,338.0,0.0,10.0,39.0,2008.0,11.0,10.0
1.0,0.0,0.0,79.0,47223.34,6183.41,19.0,10.0,658.0,0.0,244.0,8926.0,2005.0,10.0,3.0
0.0,1.0,0.0,79.0,74607.6,8934.59,31.0,14.0,421.0,0.0,243.0,1517.0,2001.0,9.0,10.0
0.0,1.0,0.0,79.0,115767.48,26227.34,9.0,9.0,234.0,0.0,251.0,8864.0,2005.0,6.0,27.0
0.0,1.0,0.0,79.0,79283.53,15959.49,9.0,9.0,211.0,0.0,103.0,3951.0,2014.0,1.0,27.0
0.0,1.0,0.0,79.0,50600.21,3.0,19.0,10.0,26.0,0.0,46.0,1552.0,2013.0,8.0,12.0
1.0,0.0,0.0,79.0,168498.91,50191.33,17.0,20.0,554.0,0.0,129.0,2076.0,1985.0,11.0,10.0
0.0,1.0,0.0,29.0,61444.09,5514.45,17.0,20.0,564.0,0.0,133.0,1423.0,2013.0,1.0,14.0
0.0,1.0,0.0,79.0,70646.34,6183.41,13.0,13.0,326.0,0.0,228.0,6040.0,2000.0,5.0,1.0
0.0,1.0,0.0,79.0,126066.56,24479.1,19.0,10.0,0.0,0.0,338.0,3180.0,1988.0,5.0,16.0
0.0,1.0,0.0,79.0,60758.14,2092.92,31.0,14.0,199.0,0.0,295.0,214.0,2012.0,1.0,3.0
1.0,0.0,0.0,79.0,36385.44,6183.41,22.0,15.0,38.0,1.0,193.0,606.0,1998.0,1.0,12.0
0.0,1.0,0.0,79.0,120825.94,6183.41,3.0,6.0,105.0,0.0,63.0,3934.0,2014.0,12.0,1.0
1.0,0.0,0.0,65.0,54500.58,9218.77,17.0,20.0,186.0,0.0,261.0,5173.0,2015.0,1.0,26.0
0.0,1.0,0.0,79.0,67076.37,10854.08,12.0,18.0,616.0,0.0,346.0,6227.0,2005.0,8.0,15.0
1.0,0.0,0.0,79.0,108195.94,5217.75,19.0,10.0,77.0,0.0,321.0,8459.0,1994.0,6.0,27.0
0.0,1.0,0.0,79.0,103771.64,5406.32,34.0,35.0,79.0,0.0,80.0,1925.0,1988.0,1.0,24.0
0.0,1.0,0.0,79.0,99072.46,2214.44,18.0,11.0,275.0,0.0,151.0,5931.0,1985.0,9.0,16.0
0.0,1.0,0.0,79.0,44866.0,3179.88,11.0,12.0,388.0,0.0,199.0,5248.0,2012.0,12.0,17.0
0.0,1.0,0.0,79.0,71172.95,8016.2,17.0,20.0,558.0,0.0,133.0,1625.0,2013.0,1.0,14.0
0.0,1.0,0.0,79.0,42094.83,1894.52,11.0,12.0,33.0,0.0,351.0,5364.0,2014.0,12.0,15.0
1.0,0.0,0.0,79.0,57847.35,405.19,16.0,8.0,6.0,0.0,134.0,7846.0,2008.0,2.0,4.0
0.0,1.0,0.0,79.0,55614.11,7566.68,12.0,18.0,616.0,0.0,26.0,1081.0,2008.0,1.0,21.0
1.0,0.0,0.0,79.0,31689.88,235.07,19.0,10.0,518.0,1.0,289.0,5195.0,2013.0,3.0,12.0
1.0,0.0,0.0,79.0,84808.48,1561.77,19.0,10.0,77.0,0.0,321.0,6930.0,2004.0,3.0,22.0
1.0,0.0,0.0,79.0,53591.05,6183.41,18.0,11.0,274.0,0.0,167.0,3477.0,2006.0,2.0,6.0
0.0,1.0,0.0,79.0,60058.56,1438.36,17.0,20.0,562.0,0.0,133.0,6111.0,2012.0,6.0,4.0
1.0,0.0,0.0,79.0,90055.61,6183.41,3.0,6.0,104.0,0.0,248.0,3525.0,1987.0,8.0,24.0
1.0,0.0,0.0,79.0,126964.56,6183.41,18.0,11.0,21.0,0.0,211.0,4528.0,1985.0,7.0,29.0
0.0,1.0,0.0,79.0,119244.94,6183.41,17.0,20.0,307.0,0.0,304.0,5372.0,2003.0,3.0,31.0
0.0,1.0,0.0,79.0,21794.16,6183.41,31.0,14.0,365.0,0.0,240.0,7433.0,2016.0,7.0,11.0
1.0,0.0,0.0,79.0,67930.19,1128.04,33.0,16.0,347.0,0.0,277.0,2072.0,1995.0,9.0,24.0
1.0,0.0,0.0,65.0,97643.35,23519.67,31.0,14.0,348.0,0.0,261.0,177.0,1994.0,6.0,20.0
0.0,1.0,0.0,79.0,78775.14,5603.44,31.0,14.0,445.0,0.0,241.0,1645.0,2007.0,7.0,16.0
